,PRE-FLIP-MLS,POST-FLIP-MLS,PRE-FLIP-SOLD-DATE,POST-FLIP-SOLD-DATE,PRE-SOLD-PRICE,POST-SOLD-PRICE,PROFIT
773,71996474.0,72065263.0,8/12/2016,10/27/2016,410000.0,407900.0,-2100
774,71996768.0,72115846.0,7/8/2016,5/19/2017,213000.0,360000.0,147000
775,71997060.0,72263886.0,7/22/2016,2/16/2018,397500.0,445000.0,47500
776,71997216.0,72111742.0,7/25/2016,3/31/2017,148000.0,270000.0,122000
777,71997576.0,72179371.0,11/11/2016,6/30/2017,235000.0,659900.0,424900
778,71997783.0,72270591.0,7/27/2016,2/28/2018,157500.0,278500.0,121000
779,71912067.0,71997851.0,1/7/2016,8/19/2016,100000.0,285000.0,185000
780,71998016.0,72132883.0,9/14/2016,5/31/2017,368500.0,373000.0,4500
781,71935248.0,71998107.0,2/24/2016,9/1/2016,171700.0,332000.0,160300
782,71998148.0,72208196.0,8/31/2016,11/7/2017,203500.0,289000.0,85500
783,71998186.0,72173293.0,9/9/2016,8/1/2017,340000.0,325000.0,-15000
784,71998231.0,72053432.0,6/24/2016,5/30/2017,2050000.0,3899000.0,1849000
785,71998281.0,71998280.0,9/23/2016,12/27/2016,540000.0,500000.0,-40000
786,71998281.0,71998280.0,9/23/2016,12/27/2016,540000.0,500000.0,-40000
787,71921117.0,71998293.0,1/29/2016,6/2/2016,275000.0,530000.0,255000
788,71998358.0,72080496.0,8/1/2016,11/18/2016,215000.0,378000.0,163000
789,71998506.0,72071295.0,7/14/2016,6/30/2017,475000.0,540000.0,65000
790,71998654.0,72159754.0,10/17/2016,8/3/2017,650000.0,695000.0,45000
791,71998777.0,72125352.0,12/16/2016,4/19/2017,350000.0,561000.0,211000
792,71998803.0,72051719.0,6/7/2016,10/24/2016,362500.0,514500.0,152000
793,71998948.0,72068363.0,6/1/2016,5/8/2017,142000.0,363500.0,221500
794,71998993.0,72100442.0,9/16/2016,1/31/2017,299900.0,506000.0,206100
795,71999158.0,72196236.0,3/31/2017,12/18/2017,42000.0,172000,130000
796,71999170.0,72159483.0,8/12/2016,8/30/2017,535000.0,537015.0,2015
797,71918492.0,71999378.0,1/14/2016,7/14/2016,60000.0,174000.0,114000
798,71999476.0,72101360.0,7/28/2016,6/16/2017,271000.0,680000.0,409000
799,71999477.0,72055389.0,8/12/2016,12/29/2016,175000.0,218000.0,43000
800,71999497.0,72222987.0,7/1/2016,12/18/2017,345000.0,448000,103000
801,71999633.0,72102998.0,7/25/2016,2/28/2017,140000.0,269990.0,129990
802,71999670.0,72255884.0,6/24/2016,1/24/2018,585000.0,635000.0,50000
803,71999749.0,72126740.0,7/12/2016,7/11/2017,86000.0,200000.0,114000
804,72000190.0,72079585.0,6/30/2016,1/17/2017,245000.0,350000.0,105000
805,72000228.0,72143877.0,11/21/2016,6/1/2017,60000.0,179900.0,119900
806,72000497.0,72200486.0,12/30/2016,8/17/2017,92500.0,125000.0,32500
807,72000625.0,72104589.0,8/10/2016,2/15/2017,45000.0,156500.0,111500
808,72000800.0,72135790.0,7/28/2016,9/29/2017,76000.0,225100.0,149100
809,72000898.0,72101645.0,6/28/2016,4/20/2017,162000.0,270000.0,108000
810,72001074.0,72135803.0,8/26/2016,9/1/2017,3100000.0,3200000.0,100000
811,71953915.0,72001145.0,3/21/2016,6/30/2016,183300.0,310000.0,126700
812,72001276.0,72250813.0,3/16/2017,3/19/2018,342000.0,440000.0,98000
813,72001376.0,72147631.0,8/29/2016,6/2/2017,90000.0,375000.0,285000
814,72001457.0,72126609.0,10/6/2016,5/15/2017,174900.0,291000.0,116100
815,72001504.0,72092773.0,8/25/2016,3/23/2017,310000.0,445000.0,135000
816,72001569.0,72179370.0,10/6/2016,8/25/2017,232000.0,499899.0,267899
817,72001580.0,72075075.0,6/28/2016,12/8/2016,243000.0,399000.0,156000
818,72001628.0,72106127.0,9/16/2016,2/17/2017,125100.0,259000.0,133900
819,72001637.0,72088730.0,7/6/2016,3/10/2017,195000.0,366500.0,171500
